#HEADER:Level,LevelCategory,AreaCode,AreaName
2,KECAMATAN,83517,SINGKEP PESISIR
2,KECAMATAN,83518,LINGGA TIMUR
2,KECAMATAN,83519,SELAYAR
1,KABUPATEN/KOTA,25429,KEPULAUAN ANAMBAS
2,KECAMATAN,25430,SIANTAN
2,KECAMATAN,25433,PALMATAK
2,KECAMATAN,25443,SIANTAN TIMUR
2,KECAMATAN,25447,SIANTAN SELATAN
2,KECAMATAN,25454,JEMAJA TIMUR
2,KECAMATAN,25459,JEMAJA
2,KECAMATAN,25467,SIANTAN TENGAH
1,KABUPATEN/KOTA,25746,KOTA BATAM
2,KECAMATAN,25747,BELAKANG PADANG
2,KECAMATAN,25811,SAGULUNG
2,KECAMATAN,25804,BATAM KOTA
2,KECAMATAN,25799,BENGKONG
2,KECAMATAN,25790,GALANG
2,KECAMATAN,25785,SEI BEDUK
2,KECAMATAN,25779,LUBUK BAJA
2,KECAMATAN,25772,BULANG
2,KECAMATAN,25767,NONGSA
2,KECAMATAN,25759,SEKUPANG
2,KECAMATAN,25754,BATU AMPAR
2,KECAMATAN,25818,BATU AJI
1,KABUPATEN/KOTA,25406,KOTA TANJUNGPINANG
2,KECAMATAN,25407,TANJUNG PINANG BARAT
2,KECAMATAN,25412,TANJUNG PINANG TIMUR
2,KECAMATAN,25418,TANJUNG PINANG KOTA
2,KECAMATAN,25423,BUKIT BESTARI
0,PROVINSI,25823,DKI JAKARTA
1,KABUPATEN/KOTA,25824,KEPULAUAN SERIBU
2,KECAMATAN,25825,KEPULAUAN SERIBU UTARA
2,KECAMATAN,25829,KEPULAUAN SERIBU SELATAN
1,KABUPATEN/KOTA,25833,JAKARTA PUSAT
2,KECAMATAN,25834,GAMBIR
2,KECAMATAN,25841,SAWAH BESAR
2,KECAMATAN,25847,KEMAYORAN
2,KECAMATAN,25856,SENEN
2,KECAMATAN,25863,CEMPAKA PUTIH
2,KECAMATAN,25867,MENTENG
2,KECAMATAN,25873,TANAH ABANG
2,KECAMATAN,25881,JOHAR BARU
1,KABUPATEN/KOTA,25886,JAKARTA UTARA
2,KECAMATAN,25887,PENJARINGAN
2,KECAMATAN,25893,TANJUNG PRIOK
2,KECAMATAN,25901,KOJA
2,KECAMATAN,25908,CILINCING
2,KECAMATAN,25916,PADEMANGAN
2,KECAMATAN,25920,KELAPA GADING
1,KABUPATEN/KOTA,25924,JAKARTA BARAT
2,KECAMATAN,25925,CENGKARENG
2,KECAMATAN,25932,GROGOL PETAMBURAN
2,KECAMATAN,25940,TAMAN SARI
2,KECAMATAN,25949,TAMBORA
2,KECAMATAN,25961,KEBON JERUK
2,KECAMATAN,25969,KALIDERES
2,KECAMATAN,25975,PAL MERAH
2,KECAMATAN,25982,KEMBANGAN
1,KABUPATEN/KOTA,25989,JAKARTA SELATAN
2,KECAMATAN,25990,TEBET
2,KECAMATAN,26052,JAGAKARSA
2,KECAMATAN,26045,PANCORAN
2,KECAMATAN,26034,KEBAYORAN BARU
2,KECAMATAN,26028,CILANDAK
2,KECAMATAN,26021,KEBAYORAN LAMA
2,KECAMATAN,26013,PASAR MINGGU
2,KECAMATAN,26007,MAMPANG PRAPATAN
2,KECAMATAN,25998,SETIABUDI
2,KECAMATAN,26059,PESANGGRAHAN
1,KABUPATEN/KOTA,26065,JAKARTA TIMUR
2,KECAMATAN,26066,MATRAMAN
2,KECAMATAN,26126,CIRACAS
2,KECAMATAN,26120,MAKASAR
2,KECAMATAN,26112,DUREN SAWIT
2,KECAMATAN,26104,CAKUNG
2,KECAMATAN,26098,PASAR REBO
2,KECAMATAN,26090,KRAMATJATI
2,KECAMATAN,26081,JATINEGARA
2,KECAMATAN,26073,PULOGADUNG
2,KECAMATAN,26132,CIPAYUNG
0,PROVINSI,26141,JAWA BARAT
1,KABUPATEN/KOTA,26142,BOGOR
2,KECAMATAN,26143,CIBINONG
2,KECAMATAN,26495,CIOMAS
2,KECAMATAN,26485,CIJERUK
2,KECAMATAN,26472,CARINGIN
2,KECAMATAN,26460,MEGAMENDUNG
2,KECAMATAN,26449,CISARUA
2,KECAMATAN,26435,CIAWI
2,KECAMATAN,26425,TENJO
2,KECAMATAN,26409,CIGUDEG
2,KECAMATAN,26507,DRAMAGA
